run_id,name,group,state,created_at,method,env,seed,url
yl0u6j9q,easy_sac_to_sac__Hopper_v4__seed_2__500k__1780602453,abhinav_easy_sac_to_sac__Hopper-v4,finished,2026-06-04T19:47:34Z,easy_sac_to_sac,Hopper-v4,2,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/yl0u6j9q
36j25b59,easy_sac_to_sac__Hopper_v4__seed_0__500k__1780602596,abhinav_easy_sac_to_sac__Hopper-v4,finished,2026-06-04T19:49:58Z,easy_sac_to_sac,Hopper-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/36j25b59
niq5tv91,easy_sac_to_sac__Hopper_v4__seed_1__500k__1780603254,abhinav_easy_sac_to_sac__Hopper-v4,finished,2026-06-04T20:00:57Z,easy_sac_to_sac,Hopper-v4,1,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/niq5tv91
pf3nfms1,easy_sac_to_sac__Walker2d_v4__seed_2__500k__1780602493,abhinav_easy_sac_to_sac__Walker2d-v4,finished,2026-06-04T19:48:15Z,easy_sac_to_sac,Walker2d-v4,2,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/pf3nfms1
grt59pjj,easy_sac_to_sac__Walker2d_v4__seed_0__500k__1780610693,abhinav_easy_sac_to_sac__Walker2d-v4,finished,2026-06-04T22:04:55Z,easy_sac_to_sac,Walker2d-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/grt59pjj
zvtpb9si,easy_sac_to_sac__Walker2d_v4__seed_1__500k__1780613000,abhinav_easy_sac_to_sac__Walker2d-v4,finished,2026-06-04T22:43:22Z,easy_sac_to_sac,Walker2d-v4,1,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/zvtpb9si
erq3snpb,easy_sac_to_sac__HalfCheetah_v4__seed_2__500k__1780602729,abhinav_easy_sac_to_sac__HalfCheetah-v4,finished,2026-06-04T19:52:12Z,easy_sac_to_sac,HalfCheetah-v4,2,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/erq3snpb
dwxzqiby,easy_sac_to_sac__HalfCheetah_v4__seed_0__500k__1780604358,abhinav_easy_sac_to_sac__HalfCheetah-v4,finished,2026-06-04T20:19:20Z,easy_sac_to_sac,HalfCheetah-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/dwxzqiby
17q4f639,easy_sac_to_sac__HalfCheetah_v4__seed_1__500k__1780608875,abhinav_easy_sac_to_sac__HalfCheetah-v4,finished,2026-06-04T21:34:37Z,easy_sac_to_sac,HalfCheetah-v4,1,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/17q4f639
bvlmnueq,easy_sac_to_sac__Ant_v4__seed_0__500k__1780603695,abhinav_easy_sac_to_sac__Ant-v4,failed,2026-06-04T20:08:17Z,easy_sac_to_sac,Ant-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/bvlmnueq
