run_id,name,group,state,created_at,method,env,seed,url,history_points,max_env_steps,final_return,normalized_auc
yl0u6j9q,easy_sac_to_sac__Hopper_v4__seed_2__500k__1780602453,abhinav_easy_sac_to_sac__Hopper-v4,finished,2026-06-04T19:47:34Z,easy_sac_to_sac,Hopper-v4,2,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/yl0u6j9q,101,500000,3175.3939514855338,2003.1518903984015
36j25b59,easy_sac_to_sac__Hopper_v4__seed_0__500k__1780602596,abhinav_easy_sac_to_sac__Hopper-v4,finished,2026-06-04T19:49:58Z,easy_sac_to_sac,Hopper-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/36j25b59,101,500000,3386.2444102740837,1999.691374077786
niq5tv91,easy_sac_to_sac__Hopper_v4__seed_1__500k__1780603254,abhinav_easy_sac_to_sac__Hopper-v4,finished,2026-06-04T20:00:57Z,easy_sac_to_sac,Hopper-v4,1,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/niq5tv91,101,500000,3437.634048452385,2398.9310527791745
pf3nfms1,easy_sac_to_sac__Walker2d_v4__seed_2__500k__1780602493,abhinav_easy_sac_to_sac__Walker2d-v4,finished,2026-06-04T19:48:15Z,easy_sac_to_sac,Walker2d-v4,2,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/pf3nfms1,101,500000,2952.391118194845,1674.8644087488437
grt59pjj,easy_sac_to_sac__Walker2d_v4__seed_0__500k__1780610693,abhinav_easy_sac_to_sac__Walker2d-v4,finished,2026-06-04T22:04:55Z,easy_sac_to_sac,Walker2d-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/grt59pjj,101,500000,3780.705268008397,2009.8954314085977
zvtpb9si,easy_sac_to_sac__Walker2d_v4__seed_1__500k__1780613000,abhinav_easy_sac_to_sac__Walker2d-v4,finished,2026-06-04T22:43:22Z,easy_sac_to_sac,Walker2d-v4,1,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/zvtpb9si,101,500000,4862.674790777767,2662.7135158255887
erq3snpb,easy_sac_to_sac__HalfCheetah_v4__seed_2__500k__1780602729,abhinav_easy_sac_to_sac__HalfCheetah-v4,finished,2026-06-04T19:52:12Z,easy_sac_to_sac,HalfCheetah-v4,2,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/erq3snpb,101,500000,8355.214737689923,6346.097236844938
dwxzqiby,easy_sac_to_sac__HalfCheetah_v4__seed_0__500k__1780604358,abhinav_easy_sac_to_sac__HalfCheetah-v4,finished,2026-06-04T20:19:20Z,easy_sac_to_sac,HalfCheetah-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/dwxzqiby,101,500000,8794.767910957029,6426.367032503246
17q4f639,easy_sac_to_sac__HalfCheetah_v4__seed_1__500k__1780608875,abhinav_easy_sac_to_sac__HalfCheetah-v4,finished,2026-06-04T21:34:37Z,easy_sac_to_sac,HalfCheetah-v4,1,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/17q4f639,101,500000,8584.881766140965,6856.343103171338
bvlmnueq,easy_sac_to_sac__Ant_v4__seed_0__500k__1780603695,abhinav_easy_sac_to_sac__Ant-v4,failed,2026-06-04T20:08:17Z,easy_sac_to_sac,Ant-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/bvlmnueq,0,,,
swt89brj,easy_sac_to_sac__Ant_v4__seed_1__500k__1780604553,abhinav_easy_sac_to_sac__Ant-v4,failed,2026-06-04T20:22:35Z,easy_sac_to_sac,Ant-v4,1,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/swt89brj,0,,,
x9japip8,easy_sac_to_sac__Ant_v4__seed_2__500k__1780605257,abhinav_easy_sac_to_sac__Ant-v4,failed,2026-06-04T20:34:19Z,easy_sac_to_sac,Ant-v4,2,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/x9japip8,0,,,
u4gyp7tu,sac__Hopper_v4__seed_0__500k__1780610665,abhinav_sac_baseline__Hopper-v4,finished,2026-06-04T22:04:27Z,sac,Hopper-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/u4gyp7tu,101,500000,3270.55505761928,2169.9788356031972
2xvqqrkg,sac__Hopper_v4__seed_1__500k__1780610666,abhinav_sac_baseline__Hopper-v4,finished,2026-06-04T22:04:29Z,sac,Hopper-v4,1,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/2xvqqrkg,101,500000,3304.6241041173844,2291.650684391764
k8bjar87,sac__Hopper_v4__seed_2__500k__1780610666,abhinav_sac_baseline__Hopper-v4,finished,2026-06-04T22:04:28Z,sac,Hopper-v4,2,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/k8bjar87,101,500000,3172.4650556767892,1846.5651574597146
b73tlkvm,sac__Walker2d_v4__seed_0__500k__1780610670,abhinav_sac_baseline__Walker2d-v4,finished,2026-06-04T22:04:33Z,sac,Walker2d-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/b73tlkvm,101,500000,2836.222416167894,1711.0397350250214
pfqbddsn,sac__Walker2d_v4__seed_1__500k__1780610673,abhinav_sac_baseline__Walker2d-v4,finished,2026-06-04T22:04:36Z,sac,Walker2d-v4,1,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/pfqbddsn,101,500000,3565.489477178812,1562.9559016817082
yzi9mx7h,sac__Walker2d_v4__seed_2__500k__1780610686,abhinav_sac_baseline__Walker2d-v4,finished,2026-06-04T22:04:49Z,sac,Walker2d-v4,2,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/yzi9mx7h,101,500000,3340.8167949185145,1568.9131588391974
hjkv57oe,sac__HalfCheetah_v4__seed_0__500k__1780610933,abhinav_sac_baseline__HalfCheetah-v4,finished,2026-06-04T22:08:56Z,sac,HalfCheetah-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/hjkv57oe,101,500000,8550.083039939907,6311.85249188468
ubrdc023,sac__HalfCheetah_v4__seed_1__500k__1780614154,abhinav_sac_baseline__HalfCheetah-v4,finished,2026-06-04T23:02:37Z,sac,HalfCheetah-v4,1,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/ubrdc023,101,500000,7067.209767794727,5227.828564906011
mfux8kin,sac__HalfCheetah_v4__seed_2__500k__1780616067,abhinav_sac_baseline__HalfCheetah-v4,finished,2026-06-04T23:34:29Z,sac,HalfCheetah-v4,2,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/mfux8kin,101,500000,8904.517096610045,6501.860991897752
sahxozyd,sac__Ant_v4__seed_0__500k__1780616085,abhinav_sac_baseline__Ant-v4,finished,2026-06-04T23:34:47Z,sac,Ant-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/sahxozyd,101,500000,3233.992056884386,2212.691003761128
x9h1f1xg,sac__Ant_v4__seed_1__500k__1780616253,abhinav_sac_baseline__Ant-v4,finished,2026-06-04T23:37:35Z,sac,Ant-v4,1,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/x9h1f1xg,101,500000,2997.415654466592,2080.030104568918
azqyzs4c,sac__Ant_v4__seed_2__500k__1780617099,abhinav_sac_baseline__Ant-v4,finished,2026-06-04T23:51:42Z,sac,Ant-v4,2,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/azqyzs4c,101,500000,4409.590584456363,2607.6089415983292
xr1z9xgt,bc_to_sac__HalfCheetah_v4__seed_0__500k__1780617292,abhinav_bc_to_sac_extended__HalfCheetah-v4,finished,2026-06-04T23:54:54Z,bc_to_sac,HalfCheetah-v4,0,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/xr1z9xgt,101,500000,9176.224449646366,6504.502074774191
xvboy0u5,bc_to_sac__HalfCheetah_v4__seed_1__500k__1780617774,abhinav_bc_to_sac_extended__HalfCheetah-v4,finished,2026-06-05T00:02:56Z,bc_to_sac,HalfCheetah-v4,1,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/xvboy0u5,101,500000,5689.101279076431,4194.345013469109
mfok9kei,bc_to_sac__HalfCheetah_v4__seed_2__500k__1780617793,abhinav_bc_to_sac_extended__HalfCheetah-v4,finished,2026-06-05T00:03:15Z,bc_to_sac,HalfCheetah-v4,2,https://wandb.ai/herschethan-stanford-university/rl-translational-dynamics/runs/mfok9kei,101,500000,8174.355520938884,6113.286306906291
