algorithm,env,policy_init,value_init,switch_trigger,handoff_fraction,seeds,auc_mean,auc_ci_low,auc_ci_high,final_mean,final_ci_low,final_ci_high,mean_switch_step
ppo,Hopper-v4,unknown,unknown,fixed_fraction,0.0,3,416.5862338694413,404.76488344610647,436.049060190142,639.1669137566255,499.98117572968687,901.479290585653,nan
ppo_to_sac,Hopper-v4,distill,random,fixed_fraction,0.5,5,640.7962612949138,603.390183542457,678.3862504470691,1488.62636892991,930.8967319434598,2270.489392531543,250000.0
ppo_to_sac,Hopper-v4,distill,self-warmup,fixed_fraction,0.25,3,1411.4949623262928,1261.0125744939141,1698.4662755553181,2451.669588992518,999.5443130607042,3192.302064298971,125000.0
ppo_to_sac,Hopper-v4,distill,self-warmup,fixed_fraction,0.5,5,729.1390128245921,633.81454739522,824.4634782539642,1760.6280515096628,1155.6662996551975,2559.6195111515563,400000.0
ppo_to_sac,Hopper-v4,distill,self-warmup,fixed_fraction,0.75,3,392.74910217089536,385.22810218256353,403.2788957970137,956.5620099104639,558.0359981444157,1238.249863912942,375000.0
ppo_to_sac,Hopper-v4,distill,self-warmup,no-improve,0.75,3,1130.9721818480114,954.1022764915,1379.0028710247443,1986.9673935602339,1022.1561643552926,3224.59996154243,150000.0
ppo_to_sac,Hopper-v4,distill,source-aligned,fixed_fraction,0.5,5,688.5763412160401,663.6697233634848,727.7524134555433,2274.686191155329,1497.5808809716223,2967.2026399481756,250000.0
ppo_to_sac,Walker2d-v4,distill,random,fixed_fraction,0.5,5,586.3729785414075,505.9857977703917,682.4991681561698,2227.2286771436848,1486.8522409620532,2788.950950764813,250000.0
ppo_to_sac,Walker2d-v4,distill,self-warmup,fixed_fraction,0.25,3,1280.686415072437,831.5536773146082,1652.358781033068,2380.175960381604,912.3624312791095,3238.018926889701,125000.0
ppo_to_sac,Walker2d-v4,distill,self-warmup,fixed_fraction,0.5,5,597.87031915789,509.3739910583557,684.4264356512001,2090.4256401263387,1363.2090968307193,2817.642183421958,250000.0
ppo_to_sac,Walker2d-v4,distill,self-warmup,fixed_fraction,0.75,3,349.03101845724655,322.6516807843589,362.90767907237296,697.3623864785549,346.61304657078927,1071.2673675058134,375000.0
ppo_to_sac,Walker2d-v4,distill,self-warmup,no-improve,0.75,3,1498.3433681493198,1315.4303665660889,1713.8935125277585,3777.6357210164456,3253.177394913067,4086.0695333509843,146666.66666666666
ppo_to_sac,Walker2d-v4,distill,source-aligned,fixed_fraction,0.5,5,486.88234066648556,441.9555366497542,542.6016073556051,1545.6677868455922,1142.6297721320182,2266.6824636968654,250000.0
